dataset,arm,scale,model_scale,prompt,cum_regret@0_mean,cum_regret@0_std,cum_regret@1_mean,cum_regret@1_std,cum_regret@2_mean,cum_regret@2_std,cum_regret@3_mean,cum_regret@3_std,cum_regret@4_mean,cum_regret@4_std,cum_regret@5_mean,cum_regret@5_std,cum_regret@6_mean,cum_regret@6_std,cum_regret@7_mean,cum_regret@7_std
abandit,sent_mislead,high_neg_scale,14B,actionhist,100.0,70.71067811865476,133.33333333333334,62.36095644623236,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
abandit,sent_mislead,high_neg_scale,14B,fullhist,116.66666666666669,47.14045207910317,183.33333333333337,23.570226039551585,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,233.33333333333337,23.570226039551585
abandit,sent_mislead,high_neg_scale,14B,summhist,100.0,70.71067811865476,133.33333333333334,62.36095644623236,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
abandit,sent_mislead,high_neg_scale,8B,fullhist,83.33333333333333,47.14045207910317,150.0,70.71067811865476,200.0,0.0,216.66666666666663,23.570226039551585,283.3333333333333,47.14045207910317,383.3333333333333,23.570226039551585,416.6666666666667,47.14045207910317,416.6666666666667,47.14045207910317
abandit,sent_mislead,high_neg_scale,8B,summhist,83.33333333333333,47.14045207910317,166.66666666666666,47.14045207910317,216.66666666666663,23.570226039551585,233.33333333333337,47.14045207910317,250.0,70.71067811865476,266.6666666666667,94.28090415820634,283.3333333333333,117.85113019775793,300.0,141.4213562373095
abandit,sent_mislead,high_scale,14B,actionhist,133.33333333333334,23.570226039551585,266.6666666666667,47.14045207910317,400.0,70.71067811865476,533.3333333333334,94.28090415820634,666.6666666666666,117.85113019775793,800.0,141.4213562373095,933.3333333333334,164.99158227686107,1066.6666666666667,188.56180831641268
abandit,sent_mislead,high_scale,14B,fullhist,133.33333333333334,23.570226039551585,216.66666666666663,62.36095644623236,316.6666666666667,62.36095644623236,383.3333333333333,102.74023338281629,450.0,147.19601443879745,516.6666666666666,192.93061504650376,583.3333333333334,239.2116682401221,650.0,285.77380332470415
abandit,sent_mislead,high_scale,14B,summhist,100.0,70.71067811865476,216.66666666666663,84.98365855987974,316.6666666666667,94.28090415820634,316.6666666666667,94.28090415820634,316.6666666666667,94.28090415820634,316.6666666666667,94.28090415820634,316.6666666666667,94.28090415820634,316.6666666666667,94.28090415820634
abandit,sent_mislead,high_scale,8B,fullhist,100.0,0.0,233.33333333333337,23.570226039551585,333.3333333333333,23.570226039551585,433.3333333333333,23.570226039551585,533.3333333333334,23.570226039551585,633.3333333333334,23.570226039551585,733.3333333333334,23.570226039551585,833.3333333333334,23.570226039551585
abandit,sent_mislead,high_scale,8B,summhist,100.0,0.0,200.0,0.0,300.0,0.0,400.0,0.0,500.0,0.0,600.0,0.0,700.0,0.0,800.0,0.0
